TLD,new_domain,transfer_or_renewal
.ac,900000,900000
.ac.id,50000,50000
.academy,450000,450000
.accountant,420000,420000
.accountants,1350000,1350000
.actor,540000,540000
.agency,300000,300000
.airforce,420000,420000
.apartements,750000,750000
.army,430000,430000
.art,200000,200000
.asia,180000,180000
.associates,420000,420000
.attorney,720000,720000
.auction,400000,400000
.audio,1875000,1875000
.auto,37500000,37500000
.band,320000,320000
.bargains,420000,420000
.bid,375000,375000
.bike,420000,420000
.bio,945000,945000
.biz,260000,260000
.biz.id,50000,50000
.black,900000,900000
.blog,200000,400000
.boutique,420000,420000
.builders,420000,420000
.cab,420000,420000
.cafe,450000,450000
.camera,700000,700000
.camp,700000,700000
.capital,700000,700000
.cards,450000,450000
.care,450000,450000
.careers,700000,700000
.cars,36000000,36000000
.cash,450000,450000
.catering,450000,450000
.cc,250000,250000
.center,350000,350000
.charity,500000,500000
.chat,450000,450000
.cheap,450000,450000
.christmas,750000,750000
.church,450000,450000
.city,300000,300000
.claims,700000,700000
.cleaning,700000,700000
.click,160000,160000
.clinic,700000,700000
.clothing,420000,420000
.cloud,390000,390000
.club,200000,200000
.co,450000,450000
.co.id,300000,300000
.coach,750000,750000
.codes,750000,750000
.coffee,450000,450000
.com,125000,145000
.com.au,300000,300000
.community,450000,450000
.computer,450000,450000
.condos,700000,700000
.construction,450000,450000
.consulting,600000,600000
.cooking,420000,420000
.cool,450000,450000
.country,420000,420000
.coupons,750000,750000
.credit,1350000,1350000
.creditcard,2000000,2000000
.cruises,700000,700000
.dance,320000,320000
.date,450000,450000
.dating,700000,700000
.deals,420000,420000
.delivery,700000,700000
.dental,700000,700000
.dentist,700000,700000
.design,750000,750000
.diamonds,700000,700000
.diet,1850000,1850000
.digital,450000,450000
.direct,450000,450000
.directory,300000,300000
.discount,450000,450000
.dog,700000,700000
.domains,450000,450000
.education,300000,300000
.email,300000,300000
.energy,1350000,1350000
.engineer,450000,450000
.engineering,700000,700000
.enterprises,450000,450000
